,Model,RMSE,MAE,R_Squared
0,SVD,0.8155534475315402,0.5793364673971453,0.6252561624260926
1,k-NN,1.0570209007069378,0.5863663060572261,0.3685643583028192
2,Centered k-NN,1.1192676103193555,0.7381235570676394,0.29263942470389703
3,k-NN Baseline,0.7421057642636025,0.4808554277258283,0.6883778919476358
4,Co-Clustering,1.1376684994953696,0.748882964134075,0.25608218645828107
5,Random,1.7203281389975307,1.3607499366024283,-0.6747210808531912
